paper_id,english_safe_file_name,original_file_name,title,authors,journal,year,DOI,keywords,research_field,material_system,core_topic,preliminary_category,readable_status,notes
P001,P001_unidentified.pdf,1.pdf,1,,,,,,,,,other,readable,
P002,P002_unidentified.pdf,Adv Funct Materials - 2023 - Luo - Recent Advances in Shape Memory Polymers  Multifunctional Materials  Multiscale.pdf,www.afm-journal.de,"Multifunctional Materials, Multiscale Structures, and",Polymer,2023,10.1002/adfm.202312036,,,,,shape_memory,readable,
P003,P003_unidentified.pdf,Advanced Materials - 2023 - Chen - Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer.pdf,RESEARCH ARTICLE,"Haiming Chen, Zaizheng Sun, Kai Lu, Jinming Liu, Chaobin He,* and Dongsheng Mao*",Nature,2023,10.1002/adma.202311332,,,,,elastomer,readable,
P004,P004_unidentified.pdf,Advanced Materials - 2024 - Xu - Flexible Cages Enable Robust Supramolecular Elastomers-复制.pdf,RESEARCH ARTICLE,"Jing Xu, Mingchao Shao, Xiaoyue Wang, Tianze Chen, Song Li, Xinrui Zhang,*",Science,2024,10.1002/adma.202311992,,,,,elastomer,readable,
P005,P005_unidentified.pdf,"FDCA Bio-based Copolyester PBFA_ Synthesis, Properties, and Fluorescence Regulation(1).pdf",View Article Online,"This article can be cited before page numbers have been issued, to do this please use: C. Han, J. Liu, C.",Polymer,2025,10.1039/D5PY00181A,,,,,fluorescence,readable,
P006,P006_unidentified.pdf,adma202311332-sup-0001-suppmat.pdf,Supporting Information,"Haiming Chen, Zaizheng Sun, Kai Lu, Jinming Liu, Chaobin He* and Dongsheng Mao*",Science,,10.1002/adma.202311332,,,,,supplementary,readable,supplementary_material
P007,P007_unidentified.pdf,adma202311992-sup-0001-suppmat.pdf,Supporting Information,"Jing Xu, Mingchao Shao, Xiaoyue Wang, Tianze Chen, Song Li, Xinrui Zhang*, Tingmei Wang,",Science,,10.1002/adma.202311992,,,,,supplementary,readable,supplementary_material
P008,P008_unidentified.pdf,ma2c02285_si_001.pdf,Supplementary Information for,"Chenchen Zhang,a, ǂ Heyu Sui,b, ǂ Guangli Feng,a Meng You,a Wenxiong Shi,b, * and Jianqiang Menga,",Science,,,,,,,supplementary,readable,supplementary_material
P009,P009_unidentified.pdf,mmc1.pdf,"Matter, Volume 5","Zhen Zhang, Jiancheng Luo, Sheng Zhao, Sirui Ge, Jan-Michael Y. Carrillo, Jong K.",Matter,,,,,,,supplementary,readable,supplementary_material
P010,P010_unidentified.pdf,mmc2.pdf,OPEN ACCESS,"ZhenZhang,JianchengLuo,",Matter,2021,10.1016/j.matt.2021.11.007,,,,,supplementary,readable,supplementary_material
P011,P011_unidentified.pdf,scetta-et-al-2021-self-organization-at-the-crack-tip-of-fatigue-resistant-thermoplastic-polyurethane-elastomers.pdf,pubs.acs.org/Macromolecules Article,"Giorgia Scetta, Eric Euchler, Jianzhu Ju, Nathan Selles, Patrick Heuillet, Matteo Ciccotti,",Nature,2021,10.1021/acs.macromol.1c00934,,,,,elastomer,readable,
P012,P012_unidentified.pdf,sciadv.aau8528 (1).pdf,CORRECTED 28 MARCH 2019; SEE FULL TEXT,"Shaoting Lin1*, Xinyue Liu1*, Ji Liu1*, Hyunwoo Yuk1, Hyun-Chae Loh2, German A. Parada1,3, AmericanAssociation",Science,2019,,,,,,hydrogel,readable,
P013,P013_unidentified.pdf,wang-et-al-2023-phase-pinned-bicontinuous-structures-reconciling-with-the-superior-fracture-toughness-and-reusability.pdf,pubs.acs.org/Macromolecules Article,"Zibi Wang, Xiaoxu Liu, Fahu Yang, Xinxin Li, Haipeng Li, Dong Liu, and Fei Chen*",Macromolecules,2023,10.1021/acs.macromol.3c01656,,,,,elastomer,readable,
P014,P014_unidentified.pdf,FFV.pdf,Supporting Information,"Yiwu Liua, Ao Tanga, Jinghua Tana, Yuhui Lia, Ding Wua, Xiang Zhanga, Xianqing Zhaoa, Pan Hea,",Polymer,2010,,,,,,other,readable,
P015,P015_unidentified.pdf,MD案例.pdf,RESEARCH ARTICLE,"Supertough, Resilient, and Healable Thermoplastic",,2025,10.1002/adfm.202504882,,,,,polyurethane,readable,
P016,P016_unidentified.pdf,Ma 17  3051–3065  Phase Behavior of Polymer Solutions.pdf,Perspective,"Piotr Knychała,† Ksenia Timachova,‡ Michał Banaszak,*,∥,⊥ and Nitash P. Balsara*,‡,#",Science,2017,10.1021/acs.macromol.6b02619,,,,,other,readable,
P017,P017_unidentified.pdf,Ma 17 1253–1290  Polymers with Complex Architectures.pdf,Perspective,"George Polymeropoulos, George Zapsas, Konstantinos Ntetsikas, Panayiotis Bilalis,",Nature,2017,10.1021/acs.macromol.6b02569,,,,,other,readable,
P018,P018_unidentified.pdf,Ma 17 1761–1777 The Importance of NMR Spectroscopy.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits","Max Planck Institute for Polymer Research, P.O. Box 3148, 55021 Mainz, Germany",Science,2017,10.1021/acs.macromol.6b02736,,,,,rheology,readable,
P019,P019_unidentified.pdf,Ma 17 2239–2256 Dielectric Phenomena in Polymers and.pdf,Perspective,"University, Cleveland, Ohio 44106-7202, United States",Nature,2017,10.1021/acs.macromol.6b02669,,,,,elastomer,readable,
P020,P020_unidentified.pdf,Ma 17 2603–2614 Metal-Catalyzed Living Radical.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits","DepartmentofPolymerChemistry,GraduateSchoolofEngineering,KyotoUniversity,Katsura,Nishikyo-ku,Kyoto615-8510,Japan",Science,2017,10.1021/acs.macromol.6b02711,,,,,other,readable,
P021,P021_unidentified.pdf,Ma 17 3439–3463  Functional Nanoparticles from the.pdf,Perspective,"Ulrich Tritschler, Sam Pearce, Jessica Gwyther, George R. Whittell, and Ian Manners",Macromolecules,2017,10.1021/acs.macromol.6b02767,,,,,other,readable,
P022,P022_unidentified.pdf,Ma 17 3733–3749 There Is a Great Future in Sustainable.pdf,Perspective,"Department of Chemistry and Center for Sustainable Polymers, University of Minnesota, 207 Pleasant St. SE, Minneapolis,",Science,2017,10.1021/acs.macromol.7b00293,,,,,other,readable,
P023,P023_unidentified.pdf,Ma 17 4089–4113  Polymer Brushes Novel Surfaces for.pdf,Perspective,,Science,2017,10.1021/acs.macromol.7b00450,,,,,other,readable,
P024,P024_unidentified.pdf,Ma 17 4597–4609 Putting the Squeeze on Polymers A Perspective on Polymer Thin Films and Interfaces.pdf,Perspective,"Thomas P. Russell*,†,‡,§ and Yu Chai‡",Nature,2017,10.1021/acs.macromol.7b00418,,,,,other,readable,
P025,P025_unidentified.pdf,Ma 17 4867–4886 ConductingSemiconducting Conjugated Polymers. A Personal Perspective on the Past and the Future.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",,Nature,2017,10.1021/acs.macromol.7b00582,,,,,other,readable,
P026,P026_unidentified.pdf,Ma 17 5215–5252  Polymer Functionalization.pdf,Perspective,"Eva Blasco,‡,§ Michael B. Sims,∥ Anja S. Goldmann,†,‡,§ Brent S. Sumerlin,*,∥",Science,2017,10.1021/acs.macromol.7b00465,,,,,other,readable,
