evidence_id,paper_id,title,conclusion,evidence_type,figure_or_table,material_system,method,key_data,mechanism,reliability_level,related_question,possible_limitation,notes
E0001,P005,View Article Online,"In this study, PBFA copolyesters with varying FDCA content were synthesized by a one-
n
pot, two-step method",experimental,,"Furan, Polyimide, Polyurethane, Polylactic acid, Polyester, Elastomer, Polyethylene","FTIR, NMR, Fluorescence, DSC, SEM, TEM, TGA, Tensile, WAXD",,,B,,,
E0002,P011,pubs.acs.org/Macromolecules Article,"Using commercial TPU with similar modulus (∼8 MPa) but different large strain behavior, we show that the
describedmechanismstemsfromthemultiphasenatureofTPUanditisnotnecessarilylinkedtoaspecificlarges",experimental,,"Polyimide, Thiourea, Block copolymer, Polyurethane, Polylactic acid, PEG, Polyester, Natural rubber, Elastomer, Hydrogel, SBR, Polyethylene","SAXS, FTIR, DMA, DSC, SEM, TEM, Cyclic Voltammetry, GPC, Tensile, WAXD",,,B,,,
E0003,P028,Perspective,"Explosive
interesting and challenging topics we have faced during the
growth followed in the ensuing few decades based on the past several decades in our own research “grooves”, taking this
detailed s",experimental,,"Polyimide, Polyacrylate, Polythiophene, Block copolymer, Polyamide, Polyurethane, Polylactic acid, PEG, Polyester, Elastomer, PVDF, Polyethylene","NMR, SEM, TEM, WAXD, AFM",,,B,,,
E0004,P040,"CiteThis:Macromolecules2017,50,9525−9527","There were also landmark symposia at the ACS including polymer-stabilized particles for delivery of therapeu-
National Meetings in San Francisco and Washington, DC",experimental,,"Polyimide, Polyethylene, Polyurethane, Polyelectrolyte, Polylactic acid, Block copolymer","SAXS, DMA, DLS, Neutron Scattering, SEM, Rheology, TEM, Dielectric, NMR",,,B,,,
E0005,P043,A Journal of the Gesellschaft Deutscher Chemiker,"Here, we reported the first reversible thiyl radical
addition-fragmentation chain transfer (SRAFT) polymerization
strategy, which utilizes allyl sulfides as chain transfer agents for
reversibly deacti",experimental,,"Polyimide, Polyethylene, Polyurethane, Polylactic acid, Block copolymer","NMR, SEM, TEM, DFT",,,B,,,
E0006,P043,A Journal of the Gesellschaft Deutscher Chemiker,"The SRAFT strategy developed in this work represents a promising
platform for discovering new controlled polymerizations based on thiyl
radical chemistry",experimental,,"Polyimide, Polyethylene, Polyurethane, Polylactic acid, Block copolymer","NMR, SEM, TEM, DFT",,,B,,,
E0007,P049,Green Chemistry,"Green Chemistry
TUTORIAL REVIEW
Recycling of polyurethanes: where we are and
where we are going
Citethis:GreenChem",experimental,,"Polyimide, Polyamide, Polyurethane, Polylactic acid, PEG, Polyester, Vitrimer, Thiourea, Elastomer, Polyethylene","FTIR, DMA, DSC, SEM, TEM, TGA, GPC, Tensile, Rheology",,,B,,,
E0008,P055,A Journal of the Gesellschaft Deutscher Chemiker,"The results can be rationalized by the effect of
intermolecular hydrogen bonding, which is absent in VUO vitrimers, but
is very pronounced for vinylogous urea moieties",experimental,,"Polyimide, Polyurethane, Polylactic acid, PEG, Vitrimer, Polyethylene","FTIR, NMR, DSC, SEM, Rheology, TEM, Tensile, WAXD",,,B,,,
E0009,P057,Science AdvAnceS | ReSeAR ch AR ticLe,"materials (6), sometimes called saloplastics (7), have been studied ex- In this work, we introduce a material concept, which we coin com-
tensively",experimental,,"Furan, Polyimide, Polyurethane, Polyelectrolyte, Polylactic acid, Ionic liquid, Vitrimer, Elastomer, Polyethylene","SAXS, NMR, DMA, Neutron Scattering, DSC, SEM, MD Simulation, Rheology, TEM, TGA, GPC, Tensile, WAXD, XPS",,,B,,,
E0010,P058,Journal Pre-proof,"To address this vulnerability, here we
presented a robust all-κCG hydrogel without employing the second synthetic network",experimental,,"Polyimide, Polyurethane, Polylactic acid, Chitosan, Hydrogel, Polyethylene","SAXS, NMR, DLS, SEM, Rheology, TEM, TGA, Tensile, WAXD, AFM",,,B,,,
