paper_id,figure_or_table,content,key_observation,supported_conclusion,importance_level
P002,Fig. 4d,,,,
P002,Fig. 6b,,,,
P002,Fig. 10e,,,,
P002,Fig. 6d,,,,
P002,Fig. 4a,,,,
P002,Fig. 4,,,,
P002,Fig. 7b,,,,
P002,Fig. 11d,,,,
P002,Fig. 5d,,,,
P002,Fig. 7,,,,
P002,Fig. 10b,,,,
P002,Fig. 9,,,,
P002,Fig. 5c,,,,
P002,Fig. 9e,,,,
P002,Fig. 9a,,,,
P002,Fig. 10d,,,,
P002,Fig. 14b,,,,
P002,Fig. 13,,,,
P002,Fig. 2,,,,
P002,Fig. 8,,,,
P002,Fig. 1,,,,
P002,Fig. 11c,,,,
P002,Fig. 5e,,,,
P002,Fig. 5a,,,,
P002,Fig. 10,,,,
P002,Fig. 11,,,,
P002,Fig. 9b,,,,
P002,Fig. 4b,,,,
P002,Fig. 4e,,,,
P002,Fig. 9f,,,,
P002,Fig. 11f,,,,
P002,Fig. 7a,,,,
P002,Fig. 7c,,,,
P002,Fig. 8a,,,,
P002,Fig. 10c,,,,
P002,Fig. 12,,,,
P002,Fig. 14a,,,,
P002,Fig. 6a,,,,
P002,Fig. 8b,,,,
P002,Fig. 9c,,,,
P002,Fig. 6e,,,,
P002,Fig. 9d,,,,
P002,Fig. 11a,,,,
P002,Fig. 10a,,,,
P002,Fig. 11e,,,,
P002,Fig. 6,,,,
P002,Fig. 8c,,,,
P002,Fig. 11b,,,,
P002,Fig. 5b,,,,
P002,Fig. 3,,,,
P002,Fig. 6c,,,,
P002,Fig. 5,,,,
P003,Fig. 2d,,,,
P003,Fig. 2b,,,,
P003,Fig. 4a,,,,
P003,Fig. 4,,,,
P003,Fig. 5d,,,,
P003,Fig. 4i,,,,
P003,Fig. 1f,,,,
P003,Fig. 3b,,,,
P003,Fig. 5c,,,,
P003,Fig. 2,,,,
P003,Fig. 1b,,,,
P003,Fig. 1,,,,
P003,Fig. 5e,,,,
P003,Fig. 5a,,,,
P003,Fig. 2g,,,,
P003,Fig. 3c,,,,
P003,Fig. 3a,,,,
P003,Fig. 4e,,,,
P003,Fig. 2c,,,,
P003,Fig. 1c,,,,
P003,Fig. 3f,,,,
P003,Fig. 1d,,,,
P003,Fig. 2h,,,,
P003,Fig. 1e,,,,
P003,Fig. 3d,,,,
P003,Fig. 5b,,,,
P003,Fig. 3,,,,
P003,Fig. 2a,,,,
P003,Fig. 5,,,,
P004,Fig. 4d,,,,
P004,Fig. 6b,,,,
P004,Fig. 2d,,,,
P004,Fig. 2b,,,,
P004,Fig. 4a,,,,
P004,Fig. 4,,,,
P004,Fig. 1f,,,,
P004,Fig. 1a,,,,
P004,Fig. 3b,,,,
P004,Fig. 5c,,,,
P004,Fig. 4f,,,,
P004,Fig. 2,,,,
P004,Fig. 1b,,,,
P004,Fig. 4g,,,,
P004,Fig. 1,,,,
P004,Fig. 5e,,,,
P004,Fig. 5a,,,,
P004,Fig. 3c,,,,
P004,Fig. 2e,,,,
P004,Fig. 3a,,,,
P004,Fig. 4e,,,,
P004,Fig. 1h,,,,
P004,Fig. 1c,,,,
P004,Fig. 6a,,,,
P004,Fig. 1d,,,,
P004,Fig. 3d,,,,
P004,Fig. 6,,,,
P004,Fig. 5b,,,,
P004,Fig. 3,,,,
P004,Fig. 2a,,,,
P004,Fig. 5,,,,
P005,Fig. 3a,,,,
P005,Fig. 5c,,,,
P005,Fig. 2,,,,
P005,Fig. 2c,,,,
P005,Fig. 1b,,,,
P005,Fig. 1c,,,,
P005,Fig. 1,,,,
P005,Fig. 4,,,,
P005,Fig. 7,,,,
P005,Fig. 8,,,,
P005,Fig. 1a,,,,
P005,Fig. 6,,,,
P005,Fig. 3,,,,
P005,Fig. 2a,,,,
P005,Fig. 5,,,,
P011,Fig. 2b,,,,
P011,Fig. 4a,,,,
P011,Fig. 4,,,,
P011,Fig. 7,,,,
P011,Fig. 1a,,,,
P011,Fig. 3b,,,,
P011,Fig. 9,,,,
P011,Fig. 9a,,,,
P011,Fig. 13,,,,
P011,Fig. 2,,,,
P011,Fig. 8,,,,
P011,Fig. 1b,,,,
P011,Fig. 1,,,,
P011,Fig. 5a,,,,
P011,Fig. 10,,,,
P011,Fig. 11,,,,
P011,Fig. 3a,,,,
P011,Fig. 9b,,,,
P011,Fig. 4b,,,,
P011,Fig. 6f,,,,
P011,Fig. 12,,,,
P011,Fig. 8b,,,,
P011,Fig. 10a,,,,
P011,Fig. 6,,,,
P011,Fig. 8c,,,,
P011,Fig. 3,,,,
P011,Fig. 2a,,,,
P011,Fig. 5,,,,
P012,Fig. 2,,,,
P012,Fig. 4,,,,
P012,Fig. 1,,,,
P012,Fig. 3,,,,
P012,Fig. 5,,,,
P013,Fig. 4d,,,,
P013,Fig. 6b,,,,
P013,Fig. 2d,,,,
P013,Fig. 2b,,,,
P013,Fig. 6d,,,,
P013,Fig. 4,,,,
P013,Fig. 4a,,,,
P013,Fig. 5d,,,,
P013,Fig. 5g,,,,
P013,Fig. 1f,,,,
