paper_id,material_system,composition,structure,processing_method,key_property,performance_data,application,limitation
P002,Polyimide,,,,,,,
P002,Self-healing,,,,,,,
P002,Polyurethane,,,,,,,
P002,Ionogel,,,,,,,
P002,Polylactic acid,,,,,,,
P002,PCL,,,,,,,
P002,Alginate,,,,,,,
P002,Shape memory polymer,,,,,,,
P002,PEG,,,,,,,
P002,Elastomer,,,,,,,
P002,Hydrogel,,,,,,,
P002,Polyethylene,,,,,,,
P003,Polyimide,,,,,,,
P003,Polyurethane,,,,,,,
P003,Polylactic acid,,,,,,,
P003,PCL,,,,,,,
P003,PEG,,,,,,,
P003,Elastomer,,,,,,,
P003,Hydrogel,,,,,,,
P003,Polyethylene,,,,,,,
P004,Polyimide,,,,,,,
P004,Polyurethane,,,,,,,
P004,Polylactic acid,,,,,,,
P004,Shape memory polymer,,,,,,,
P004,Elastomer,,,,,,,
P004,SBR,,,,,,,
P004,Polyethylene,,,,,,,
P005,Furan,,,,,,,
P005,Polyimide,,,,,,,
P005,Polyurethane,,,,,,,
P005,Polylactic acid,,,,,,,
P005,Polyester,,,,,,,
P005,Elastomer,,,,,,,
P005,Polyethylene,,,,,,,
P011,Polyimide,,,,,,,
P011,Thiourea,,,,,,,
P011,Block copolymer,,,,,,,
P011,Polyurethane,,,,,,,
P011,Polylactic acid,,,,,,,
P011,PEG,,,,,,,
P011,Polyester,,,,,,,
P011,Natural rubber,,,,,,,
P011,Elastomer,,,,,,,
P011,Hydrogel,,,,,,,
P011,SBR,,,,,,,
P011,Polyethylene,,,,,,,
P012,Polyimide,,,,,,,
P012,Polyurethane,,,,,,,
P012,Polylactic acid,,,,,,,
P012,Alginate,,,,,,,
P012,PEG,,,,,,,
P012,Elastomer,,,,,,,
P012,Hydrogel,,,,,,,
P012,Polyethylene,,,,,,,
P013,Polyimide,,,,,,,
P013,Polysiloxane,,,,,,,
P013,Self-healing,,,,,,,
P013,Polyurethane,,,,,,,
P013,Ionogel,,,,,,,
P013,Polylactic acid,,,,,,,
P013,Gelatin,,,,,,,
P013,PEG,,,,,,,
P013,Elastomer,,,,,,,
P013,Hydrogel,,,,,,,
P013,Polyethylene,,,,,,,
P014,Polylactic acid,,,,,,,
P014,Polyimide,,,,,,,
P014,Polyurethane,,,,,,,
P014,Polyethylene,,,,,,,
P015,Polyimide,,,,,,,
P015,Self-healing,,,,,,,
P015,Polyurethane,,,,,,,
P015,Ionogel,,,,,,,
P015,Polylactic acid,,,,,,,
P015,PCL,,,,,,,
P015,Polyester,,,,,,,
P015,Elastomer,,,,,,,
P015,Hydrogel,,,,,,,
P015,Polyethylene,,,,,,,
P016,Polyimide,,,,,,,
P016,Polyethylene,,,,,,,
P016,Polyurethane,,,,,,,
P016,Polylactic acid,,,,,,,
P016,PEG,,,,,,,
P016,Natural rubber,,,,,,,
P016,Elastomer,,,,,,,
P016,Block copolymer,,,,,,,
P017,Furan,,,,,,,
