paper_id,method_name,method_type,purpose,measured_information,strengths,limitations,key_result
P002,DMA,characterization,,,,,
P002,DSC,characterization,,,,,
P002,SEM,characterization,,,,,
P002,MD Simulation,characterization,,,,,
P002,TEM,characterization,,,,,
P002,Tensile,characterization,,,,,
P002,Rheology,characterization,,,,,
P002,AFM,characterization,,,,,
P003,SAXS,characterization,,,,,
P003,DMA,characterization,,,,,
P003,DSC,characterization,,,,,
P003,SEM,characterization,,,,,
P003,TEM,characterization,,,,,
P003,TGA,characterization,,,,,
P003,GPC,characterization,,,,,
P003,Tensile,characterization,,,,,
P003,WAXD,characterization,,,,,
P004,FTIR,characterization,,,,,
P004,NMR,characterization,,,,,
P004,DMA,characterization,,,,,
P004,DLS,characterization,,,,,
P004,DSC,characterization,,,,,
P004,SEM,characterization,,,,,
P004,MD Simulation,characterization,,,,,
P004,TEM,characterization,,,,,
P004,TGA,characterization,,,,,
P004,GPC,characterization,,,,,
P004,Tensile,characterization,,,,,
P004,WAXD,characterization,,,,,
P004,AFM,characterization,,,,,
P004,DFT,characterization,,,,,
P005,FTIR,characterization,,,,,
P005,NMR,characterization,,,,,
P005,Fluorescence,characterization,,,,,
P005,DSC,characterization,,,,,
P005,SEM,characterization,,,,,
P005,TEM,characterization,,,,,
P005,TGA,characterization,,,,,
P005,Tensile,characterization,,,,,
P005,WAXD,characterization,,,,,
P011,SAXS,characterization,,,,,
P011,FTIR,characterization,,,,,
P011,DMA,characterization,,,,,
P011,DSC,characterization,,,,,
P011,SEM,characterization,,,,,
P011,TEM,characterization,,,,,
P011,Cyclic Voltammetry,characterization,,,,,
P011,GPC,characterization,,,,,
P011,Tensile,characterization,,,,,
P011,WAXD,characterization,,,,,
P012,SAXS,characterization,,,,,
P012,DMA,characterization,,,,,
P012,DSC,characterization,,,,,
P012,SEM,characterization,,,,,
P012,Rheology,characterization,,,,,
P012,TEM,characterization,,,,,
P012,Tensile,characterization,,,,,
P012,WAXD,characterization,,,,,
P012,AFM,characterization,,,,,
P013,SAXS,characterization,,,,,
P013,FTIR,characterization,,,,,
P013,DSC,characterization,,,,,
P013,SEM,characterization,,,,,
P013,TEM,characterization,,,,,
P013,Tensile,characterization,,,,,
P013,Rheology,characterization,,,,,
P014,FTIR,characterization,,,,,
P014,NMR,characterization,,,,,
P014,DMA,characterization,,,,,
P014,Neutron Scattering,characterization,,,,,
P014,TEM,characterization,,,,,
P014,TGA,characterization,,,,,
P014,GPC,characterization,,,,,
P014,Tensile,characterization,,,,,
P014,WAXD,characterization,,,,,
P015,SAXS,characterization,,,,,
P015,FTIR,characterization,,,,,
P015,DMA,characterization,,,,,
P015,DSC,characterization,,,,,
P015,SEM,characterization,,,,,
P015,MD Simulation,characterization,,,,,
P015,Rheology,characterization,,,,,
P015,TEM,characterization,,,,,
P015,TGA,characterization,,,,,
P015,GPC,characterization,,,,,
P015,Tensile,characterization,,,,,
P015,NMR,characterization,,,,,
P015,AFM,characterization,,,,,
P016,SAXS,characterization,,,,,
P016,DMA,characterization,,,,,
P016,Neutron Scattering,characterization,,,,,
P016,DSC,characterization,,,,,
P016,MD Simulation,characterization,,,,,
P016,TEM,characterization,,,,,
P016,Cyclic Voltammetry,characterization,,,,,
P016,SEM,characterization,,,,,
P017,SAXS,characterization,,,,,
P017,DMA,characterization,,,,,
P017,DLS,characterization,,,,,
P017,Neutron Scattering,characterization,,,,,
P017,SEM,characterization,,,,,
P017,Rheology,characterization,,,,,
P017,TEM,characterization,,,,,
P017,Dielectric,characterization,,,,,
P017,Cyclic Voltammetry,characterization,,,,,
P017,NMR,characterization,,,,,
P017,DFT,characterization,,,,,
P018,DMA,characterization,,,,,
P018,Neutron Scattering,characterization,,,,,
P018,SEM,characterization,,,,,
P018,MD Simulation,characterization,,,,,
P018,Rheology,characterization,,,,,
P018,TEM,characterization,,,,,
P018,Dielectric,characterization,,,,,
P018,Cyclic Voltammetry,characterization,,,,,
P018,NMR,characterization,,,,,
P018,AFM,characterization,,,,,
P019,FTIR,characterization,,,,,
P019,Piezoelectric,characterization,,,,,
P019,DMA,characterization,,,,,
P019,DLS,characterization,,,,,
P019,DSC,characterization,,,,,
P019,SEM,characterization,,,,,
P019,MD Simulation,characterization,,,,,
P019,TEM,characterization,,,,,
P019,Dielectric,characterization,,,,,
P019,Cyclic Voltammetry,characterization,,,,,
P019,GPC,characterization,,,,,
P019,NMR,characterization,,,,,
P019,AFM,characterization,,,,,
P019,DFT,characterization,,,,,
P020,Cyclic Voltammetry,characterization,,,,,
P020,TEM,characterization,,,,,
P020,DMA,characterization,,,,,
P021,DMA,characterization,,,,,
P021,DLS,characterization,,,,,
P021,DSC,characterization,,,,,
P021,TEM,characterization,,,,,
P021,Cyclic Voltammetry,characterization,,,,,
P021,SEM,characterization,,,,,
P021,AFM,characterization,,,,,
P022,DMA,characterization,,,,,
P022,DSC,characterization,,,,,
P022,SEM,characterization,,,,,
P022,TEM,characterization,,,,,
P022,Cyclic Voltammetry,characterization,,,,,
P022,Rheology,characterization,,,,,
P023,FTIR,characterization,,,,,
P023,DMA,characterization,,,,,
P023,DSC,characterization,,,,,
P023,SEM,characterization,,,,,
P023,TEM,characterization,,,,,
P023,Cyclic Voltammetry,characterization,,,,,
P023,NMR,characterization,,,,,
P023,AFM,characterization,,,,,
P023,DFT,characterization,,,,,
P024,DMA,characterization,,,,,
P024,Neutron Scattering,characterization,,,,,
P024,DSC,characterization,,,,,
P024,SEM,characterization,,,,,
P024,TEM,characterization,,,,,
P024,Dielectric,characterization,,,,,
P024,Rheology,characterization,,,,,
P024,AFM,characterization,,,,,
P025,SEM,characterization,,,,,
P025,DSC,characterization,,,,,
P025,Cyclic Voltammetry,characterization,,,,,
P025,TEM,characterization,,,,,
P026,FTIR,characterization,,,,,
P026,DMA,characterization,,,,,
P026,DSC,characterization,,,,,
P026,SEM,characterization,,,,,
P026,TEM,characterization,,,,,
P026,NMR,characterization,,,,,
P027,DMA,characterization,,,,,
P027,DSC,characterization,,,,,
P027,SEM,characterization,,,,,
P027,TEM,characterization,,,,,
P027,Dielectric,characterization,,,,,
P027,Cyclic Voltammetry,characterization,,,,,
P027,Tensile,characterization,,,,,
P027,Rheology,characterization,,,,,
P028,NMR,characterization,,,,,
P028,SEM,characterization,,,,,
P028,TEM,characterization,,,,,
P028,WAXD,characterization,,,,,
P028,AFM,characterization,,,,,
P029,SEM,characterization,,,,,
P029,MD Simulation,characterization,,,,,
P029,TEM,characterization,,,,,
P029,Dielectric,characterization,,,,,
P029,Cyclic Voltammetry,characterization,,,,,
P029,Rheology,characterization,,,,,
P030,DMA,characterization,,,,,
P030,DSC,characterization,,,,,
P030,SEM,characterization,,,,,
P030,TEM,characterization,,,,,
P030,TGA,characterization,,,,,
P030,GPC,characterization,,,,,
P030,Cyclic Voltammetry,characterization,,,,,
P030,NMR,characterization,,,,,
P031,SEM,characterization,,,,,
P031,Cyclic Voltammetry,characterization,,,,,
P031,TEM,characterization,,,,,
P031,DMA,characterization,,,,,
P032,DMA,characterization,,,,,
P032,Neutron Scattering,characterization,,,,,
P032,SEM,characterization,,,,,
P032,TEM,characterization,,,,,
P032,TGA,characterization,,,,,
P032,Tensile,characterization,,,,,
P032,WAXD,characterization,,,,,
P033,DMA,characterization,,,,,
P033,DSC,characterization,,,,,
P033,SEM,characterization,,,,,
P033,Rheology,characterization,,,,,
P033,TEM,characterization,,,,,
P033,Tensile,characterization,,,,,
P033,WAXD,characterization,,,,,
P033,AFM,characterization,,,,,
P034,Fluorescence,characterization,,,,,
P034,DMA,characterization,,,,,
P034,TEM,characterization,,,,,
P034,Dielectric,characterization,,,,,
P034,Tensile,characterization,,,,,
P034,SEM,characterization,,,,,
P035,DMA,characterization,,,,,
P035,SEM,characterization,,,,,
P035,MD Simulation,characterization,,,,,
P035,TEM,characterization,,,,,
P035,Rheology,characterization,,,,,
P036,DMA,characterization,,,,,
P036,DLS,characterization,,,,,
P036,Neutron Scattering,characterization,,,,,
P036,DSC,characterization,,,,,
P036,MD Simulation,characterization,,,,,
P036,TEM,characterization,,,,,
P036,Dielectric,characterization,,,,,
P036,SEM,characterization,,,,,
P037,SAXS,characterization,,,,,
P037,DMA,characterization,,,,,
P037,Neutron Scattering,characterization,,,,,
P037,DSC,characterization,,,,,
P037,SEM,characterization,,,,,
P037,TEM,characterization,,,,,
P037,Dielectric,characterization,,,,,
P037,Cyclic Voltammetry,characterization,,,,,
P037,Tensile,characterization,,,,,
P037,Rheology,characterization,,,,,
P037,AFM,characterization,,,,,
P038,DMA,characterization,,,,,
P038,DSC,characterization,,,,,
P038,SEM,characterization,,,,,
P038,TEM,characterization,,,,,
P038,TGA,characterization,,,,,
P038,Cyclic Voltammetry,characterization,,,,,
P038,Rheology,characterization,,,,,
P039,SAXS,characterization,,,,,
P039,DMA,characterization,,,,,
P039,Neutron Scattering,characterization,,,,,
P039,SEM,characterization,,,,,
P039,TEM,characterization,,,,,
P039,Dielectric,characterization,,,,,
P039,Cyclic Voltammetry,characterization,,,,,
P039,Tensile,characterization,,,,,
P039,Rheology,characterization,,,,,
P039,AFM,characterization,,,,,
P039,DFT,characterization,,,,,
P040,SAXS,characterization,,,,,
P040,DMA,characterization,,,,,
P040,DLS,characterization,,,,,
P040,Neutron Scattering,characterization,,,,,
P040,SEM,characterization,,,,,
P040,Rheology,characterization,,,,,
P040,TEM,characterization,,,,,
P040,Dielectric,characterization,,,,,
P040,NMR,characterization,,,,,
P041,TEM,characterization,,,,,
P042,NMR,characterization,,,,,
P043,NMR,characterization,,,,,
P043,SEM,characterization,,,,,
P043,TEM,characterization,,,,,
P043,DFT,characterization,,,,,
P044,SEM,characterization,,,,,
P044,MD Simulation,characterization,,,,,
P044,TEM,characterization,,,,,
P044,Dielectric,characterization,,,,,
P044,Tensile,characterization,,,,,
P044,Rheology,characterization,,,,,
P045,Rheology,characterization,,,,,
P045,SEM,characterization,,,,,
P045,MD Simulation,characterization,,,,,
P045,TEM,characterization,,,,,
P046,NMR,characterization,,,,,
P046,TEM,characterization,,,,,
P046,Piezoelectric,characterization,,,,,
P046,Rheology,characterization,,,,,
P047,DMA,characterization,,,,,
P047,DSC,characterization,,,,,
