source,target,relation,weight
"P002","MAT_TPU__Thermoplastic_Polyurethane_","studies","1"
"P002","MAT_Shape_Memory_Polymers","studies","1"
"P002","MAT_soft_segments","studies","1"
"P002","MAT_hard_segments","studies","1"
"P002","METH_DSC","uses","1"
"P002","METH_DMA","uses","1"
"P002","METH_Tensile_Testing","uses","1"
"P002","METH_shape_memory_testing","uses","1"
"P002","CONC_Phase_Separation","addresses","1"
"P002","CONC_Shape_Memory_Effect","addresses","1"
"P013","MAT_Polyimide","studies","1"
"P013","MAT_9_OH_FPPI","studies","1"
"P013","MAT_PMDA","studies","1"
"P013","MAT_ODA","studies","1"
"P013","MAT_Kapton","studies","1"
"P013","METH_Molecular_simulation__COMPASS_force_fiel","uses","1"
"P013","METH_Materials_Studio_","uses","1"
"P013","METH_gas_permeability","uses","1"
"P013","METH_WAXD","uses","1"
"P013","METH_DMA","uses","1"
"P013","METH_TGA","uses","1"
"P013","METH_PALS","uses","1"
"P013","METH_density_measurement","uses","1"
"P013","CONC_Free_Volume","addresses","1"
"P013","CONC_Diffusion","addresses","1"
"P013","INST_Hunan_University_of_Technology","from","1"
"P014","MAT_Elastomers","studies","1"
"P014","MAT_bicontinuous_structures","studies","1"
"P014","MAT_phase_pinned_morphology","studies","1"
"P014","METH_SAXS","uses","1"
"P014","METH_Rheology","uses","1"
"P014","METH_Mechanical_Testing","uses","1"
"P014","CONC_Phase_Separation","addresses","1"
"P014","CONC_Ionic_Interactions","addresses","1"
"P014","CONC_Crosslinking","addresses","1"
"P014","INST_Xi_an_Jiaotong_University","from","1"
"P015","MAT_Star","studies","1"
"P015","MAT_miktoarm","studies","1"
"P015","MAT_cyclic","studies","1"
"P015","MAT_comb","studies","1"
"P015","MAT_graft_polymers","studies","1"
"P015","MAT_Block_Copolymers","studies","1"
"P015","METH_Living_Polymerization","uses","1"
"P015","METH_ATRP","uses","1"
"P015","METH_RAFT","uses","1"
"P015","METH_SEC_GPC","uses","1"
"P015","METH_SEM","uses","1"
"P015","CONC_Self_Assembly","addresses","1"
"P015","CONC_Grafting","addresses","1"
"P015","INST_KAUST","from","1"
"P017","MAT_Block_Copolymers","studies","1"
"P017","MAT_Flory_Huggins_interaction_parameter__","studies","1"
"P017","METH_SCFT","uses","1"
"P017","METH_SAXS","uses","1"
"P017","METH_phase_diagram_construction","uses","1"
"P017","INST_UC_Berkeley","from","1"
"P018","MAT_TPU__Thermoplastic_Polyurethane_","studies","1"
"P018","MAT_supramolecular_crosslinks","studies","1"
"P018","METH_Mechanical_Testing","uses","1"
"P018","METH_cyclic_","uses","1"
"P018","METH_SAXS","uses","1"
"P018","METH_DSC","uses","1"
"P018","METH_FTIR","uses","1"
"P018","METH_DMA","uses","1"
"P018","CONC_Phase_Separation","addresses","1"
"P018","CONC_Hydrogen_Bonding","addresses","1"
"P018","CONC_Toughness","addresses","1"
"P018","CONC_Crosslinking","addresses","1"
"P018","INST_Qingdao_University_of_Science_and_Techno","from","1"
"P021","MAT_Block_Copolymers","studies","1"
"P021","MAT_PS_b_PAA","studies","1"
"P021","MAT_PDMS","studies","1"
"P021","MAT_PEO_b_PS","studies","1"
"P021","MAT_PLLA_b_PAA_","studies","1"
"P021","MAT_crystalline_core_micelles","studies","1"
"P021","METH_TEM","uses","1"
"P021","METH_DLS","uses","1"
"P021","METH_SAXS","uses","1"
"P021","METH_TEM","uses","1"
"P021","METH_self_seeding","uses","1"
"P021","METH_seeded_growth","uses","1"
"P021","CONC_Self_Assembly","addresses","1"
"P021","CONC_Crystallization","addresses","1"
"P021","CONC_Crosslinking","addresses","1"
"P021","INST_University_of_Bristol","from","1"
"P022","MAT_PS_thin_films","studies","1"
"P022","MAT_PMMA","studies","1"
"P022","MAT_Block_Copolymers","studies","1"
"P022","MAT_Polyelectrolytes","studies","1"
"P022","MAT_conjugated_polymer_zwitterions","studies","1"
"P022","METH_Ellipsometry","uses","1"
"P022","METH_neutron_reflectivity","uses","1"
"P022","METH_SANS","uses","1"
"P022","METH_AFM","uses","1"
"P022","METH_XPCS","uses","1"
"P022","METH_DSC","uses","1"
"P022","CONC_Self_Assembly","addresses","1"
"P022","CONC_Polymer_Brushes","addresses","1"
"P022","CONC_Copolymers","addresses","1"
"P022","CONC_Surface_Properties","addresses","1"
"P022","INST_UMass_Amherst","from","1"
"P023","MAT_PLA","studies","1"
"P023","MAT_PHA","studies","1"
"P023","MAT_isosorbide_derivatives_","studies","1"
"P023","MAT_degradable_polymers","studies","1"
"P023","MAT_reprocessable_thermosets","studies","1"
"P023","METH_Ring_opening_polymerization","uses","1"
"P023","METH_polycondensation","uses","1"
"P023","METH_LCA","uses","1"
"P023","METH_catalytic_degradation","uses","1"
"P023","CONC_Sustainability","addresses","1"
"P023","INST_University_of_Minnesota","from","1"
"P024","MAT_Polymer_Brushes","studies","1"
"P024","MAT_PBA","studies","1"
"P024","MAT_PSPMA_","studies","1"
"P024","MAT_initiator_modified_substrates","studies","1"
"P024","METH_ATRP","uses","1"
"P024","METH_RAFT","uses","1"
"P024","METH_SI_NMP","uses","1"
"P024","METH_SI_PIMP","uses","1"
"P024","METH_light_mediated_CRP","uses","1"
"P024","METH_ellipsometry","uses","1"
"P024","METH_neutron_reflectivity","uses","1"
"P024","METH_QCM_D","uses","1"
"P024","CONC_Polymer_Brushes","addresses","1"
"P024","CONC_Surface_Properties","addresses","1"
"P024","INST_Cornell_University","from","1"
"P025","MAT_iPP___","studies","1"
"P025","MAT___phases_","studies","1"
"P025","MAT_PLLA","studies","1"
"P025","MAT_st_PP","studies","1"
"P025","MAT_iPBu","studies","1"
"P025","MAT_i_P2VP","studies","1"
"P025","METH_WAXD","uses","1"
"P025","METH_electron_diffraction","uses","1"
"P025","METH_synchrotron_X_ray","uses","1"
"P025","METH_epitaxial_crystallization","uses","1"
"P025","METH_dark_field_imaging","uses","1"
"P025","INST_CNRS_Strasbourg","from","1"
"P026","MAT_Poly","studies","1"
"P026","MAT_poly","studies","1"
"P026","MAT_activated_esters","studies","1"
"P026","MAT_squaric_esters","studies","1"
"P026","METH_Post_polymerization_modification","uses","1"
"P026","METH_CuAAC","uses","1"
"P026","METH_thiol_ene","uses","1"
"P026","METH_NHS_ester_amidation","uses","1"
"P026","METH_PFP_transesterification","uses","1"
"P026","INST_QUT","from","1"
"P027","MAT_Polyacetylene","studies","1"
"P027","MAT_polyaniline","studies","1"
"P027","MAT_PPV","studies","1"
"P027","MAT_poly","studies","1"
"P027","MAT_poly","studies","1"
"P027","METH_Conductivity_Measurement","uses","1"
"P027","METH_band_gap_engineering","uses","1"
"P027","METH_resonance_structure_analysis","uses","1"
"P027","METH_doping","uses","1"
"P027","CONC_Ionic_Electronic_Conductivity","addresses","1"
"P027","INST_MIT","from","1"
"P028","MAT_PAN","studies","1"
"P028","MAT_pitch","studies","1"
"P028","MAT_rayon_precursors_","studies","1"
"P028","MAT_Kevlar","studies","1"
"P028","MAT_Nomex","studies","1"
"P028","MAT_PBO","studies","1"
"P028","MAT_PIPD","studies","1"
"P028","MAT_UHMWPE","studies","1"
"P028","MAT_Vectran","studies","1"
"P028","METH_Dry_jet_wet_spinning","uses","1"
"P028","METH_gel_spinning","uses","1"
"P028","METH_Electrospinning","uses","1"
"P028","METH_melt_spinning","uses","1"
"P028","METH_carbonization","uses","1"
"P028","INST_MIT","from","1"
"P029","MAT_Polystyrene","studies","1"
"P029","MAT_poly","studies","1"
"P029","MAT_polybutadiene","studies","1"
"P029","MAT_atactic_polypropylene","studies","1"
"P029","METH_DSC","uses","1"
"P029","METH_dilatometry","uses","1"
"P029","METH_Dielectric_Spectroscopy","uses","1"
"P029","METH_viscoelastic_spectroscopy","uses","1"
"P029","METH_creep_compliance","uses","1"
"P029","CONC_Glass_Transition","addresses","1"
"P029","INST_Texas_Tech_University","from","1"
"P030","MAT_Polystyrene","studies","1"
"P030","MAT_polybutadiene","studies","1"
"P030","MAT_various_monomers_for_living_polymerizati","studies","1"
"P030","METH_Anionic_Polymerization","uses","1"
