id,type,label,category,year,journal
"P002","Paper","Thermoplastic Polyurethane and Its Shape-Memory Behavior","tpu_elastomer","2012","Progress in Polymer Science, ~2012"
"MAT_TPU__Thermoplastic_Polyurethane_","Material","TPU (Thermoplastic Polyurethane)","material","",""
"MAT_Shape_Memory_Polymers","Material","Shape Memory Polymers","material","",""
"MAT_soft_segments","Material","soft segments","material","",""
"MAT_hard_segments","Material","hard segments","material","",""
"METH_DSC","Method","DSC","method","",""
"METH_DMA","Method","DMA","method","",""
"METH_Tensile_Testing","Method","Tensile Testing","method","",""
"METH_shape_memory_testing","Method","shape memory testing","method","",""
"CONC_Phase_Separation","Concept","Phase Separation","concept","",""
"CONC_Shape_Memory_Effect","Concept","Shape Memory Effect","concept","",""
"P004","Paper","(Not fully read in this session - read in prior session)","other","",""
"P005","Paper","(Read in prior session)","other","",""
"P006","Paper","(Read in prior session)","other","",""
"P007","Paper","(Read in prior session)","other","",""
"P008","Paper","(Read in prior session)","other","",""
"P010","Paper","(Read in prior session)","other","",""
"P011","Paper","(Read in prior session)","other","",""
"P012","Paper","(Read in prior session)","other","",""
"P013","Paper","High-barrier polyimide containing fluorenol moiety","polymer_crystallization","2022","(Macromolecules or similar), ~2022"
"MAT_Polyimide","Material","Polyimide","material","",""
"MAT_9_OH_FPPI","Material","9-OH-FPPI","material","",""
"MAT_PMDA","Material","PMDA","material","",""
"MAT_ODA","Material","ODA","material","",""
"MAT_Kapton","Material","Kapton","material","",""
"METH_Molecular_simulation__COMPASS_force_fiel","Method","Molecular simulation (COMPASS force field","method","",""
"METH_Materials_Studio_","Method","Materials Studio)","method","",""
"METH_gas_permeability","Method","gas permeability","method","",""
"METH_WAXD","Method","WAXD","method","",""
"METH_TGA","Method","TGA","method","",""
"METH_PALS","Method","PALS","method","",""
"METH_density_measurement","Method","density measurement","method","",""
"CONC_Free_Volume","Concept","Free Volume","concept","",""
"CONC_Diffusion","Concept","Diffusion","concept","",""
"INST_Hunan_University_of_Technology","Institution","Hunan University of Technology","institution","",""
"P014","Paper","(Phase-pinned bicontinuous structures in ionic elastomers)","ionic_material","2023","Macromolecules 2023, DOI: 10.1021/acs.macromol.3c01656"
"MAT_Elastomers","Material","Elastomers","material","",""
"MAT_bicontinuous_structures","Material","bicontinuous structures","material","",""
"MAT_phase_pinned_morphology","Material","phase-pinned morphology","material","",""
"METH_SAXS","Method","SAXS","method","",""
"METH_Rheology","Method","Rheology","method","",""
"METH_Mechanical_Testing","Method","Mechanical Testing","method","",""
"CONC_Ionic_Interactions","Concept","Ionic Interactions","concept","",""
"CONC_Crosslinking","Concept","Crosslinking","concept","",""
"INST_Xi_an_Jiaotong_University","Institution","Xi'an Jiaotong University","institution","",""
"P015","Paper","50th Anniversary Perspective: Complex Architectures","block_copolymer","2017","Macromolecules 2017"
"MAT_Star","Material","Star","material","",""
"MAT_miktoarm","Material","miktoarm","material","",""
"MAT_cyclic","Material","cyclic","material","",""
"MAT_comb","Material","comb","material","",""
"MAT_graft_polymers","Material","graft polymers","material","",""
"MAT_Block_Copolymers","Material","Block Copolymers","material","",""
"METH_Living_Polymerization","Method","Living Polymerization","method","",""
"METH_ATRP","Method","ATRP","method","",""
"METH_RAFT","Method","RAFT","method","",""
"METH_SEC_GPC","Method","SEC/GPC","method","",""
"METH_SEM","Method","SEM","method","",""
"CONC_Self_Assembly","Concept","Self-Assembly","concept","",""
"CONC_Grafting","Concept","Grafting","concept","",""
"INST_KAUST","Institution","KAUST","institution","",""
"P017","Paper","50th Anniversary Perspective: Phase Behavior","block_copolymer","2017","Macromolecules 2017"
"MAT_Flory_Huggins_interaction_parameter__","Material","Flory-Huggins interaction parameter χ","material","",""
"METH_SCFT","Method","SCFT","method","",""
"METH_phase_diagram_construction","Method","phase diagram construction","method","",""
"INST_UC_Berkeley","Institution","UC Berkeley","institution","",""
"P018","Paper","Supertough TPU with H-bonding arrays","tpu_elastomer","2026","Advanced Functional Materials 2026"
"MAT_supramolecular_crosslinks","Material","supramolecular crosslinks","material","",""
"METH_cyclic_","Method","cyclic)","method","",""
"METH_FTIR","Method","FTIR","method","",""
"CONC_Hydrogen_Bonding","Concept","Hydrogen Bonding","concept","",""
"CONC_Toughness","Concept","Toughness","concept","",""
"INST_Qingdao_University_of_Science_and_Techno","Institution","Qingdao University of Science and Technology","institution","",""
"P021","Paper","50th Anniversary Perspective: Functional Nanoparticles from Solution Self-Assembly of Block Copolyme","block_copolymer","2017","Macromolecules 2017, 50, 3439-3463"
"MAT_PS_b_PAA","Material","PS-b-PAA","material","",""
"MAT_PDMS","Material","PDMS","material","",""
"MAT_PEO_b_PS","Material","PEO-b-PS","material","",""
"MAT_PLLA_b_PAA_","Material","PLLA-b-PAA)","material","",""
"MAT_crystalline_core_micelles","Material","crystalline-core micelles","material","",""
"METH_TEM","Method","TEM","method","",""
"METH_DLS","Method","DLS","method","",""
"METH_self_seeding","Method","self-seeding","method","",""
"METH_seeded_growth","Method","seeded growth","method","",""
"CONC_Crystallization","Concept","Crystallization","concept","",""
"INST_University_of_Bristol","Institution","University of Bristol","institution","",""
"P022","Paper","50th Anniversary Perspective: Putting the Squeeze on Polymers","block_copolymer","2017","Macromolecules 2017, 50, 4597-4609"
"MAT_PS_thin_films","Material","PS thin films","material","",""
"MAT_PMMA","Material","PMMA","material","",""
"MAT_Polyelectrolytes","Material","Polyelectrolytes","material","",""
"MAT_conjugated_polymer_zwitterions","Material","conjugated polymer zwitterions","material","",""
"METH_Ellipsometry","Method","Ellipsometry","method","",""
"METH_neutron_reflectivity","Method","neutron reflectivity","method","",""
"METH_SANS","Method","SANS","method","",""
"METH_AFM","Method","AFM","method","",""
"METH_XPCS","Method","XPCS","method","",""
"CONC_Polymer_Brushes","Concept","Polymer Brushes","concept","",""
"CONC_Copolymers","Concept","Copolymers","concept","",""
"CONC_Surface_Properties","Concept","Surface Properties","concept","",""
"INST_UMass_Amherst","Institution","UMass Amherst","institution","",""
"P023","Paper","50th Anniversary Perspective: There Is a Great Future in Sustainable Polymers","polymerization","2017","Macromolecules 2017, 50, 3733-3749"
"MAT_PLA","Material","PLA","material","",""
"MAT_PHA","Material","PHA","material","",""
"MAT_isosorbide_derivatives_","Material","isosorbide derivatives)","material","",""
"MAT_degradable_polymers","Material","degradable polymers","material","",""
"MAT_reprocessable_thermosets","Material","reprocessable thermosets","material","",""
"METH_Ring_opening_polymerization","Method","Ring-opening polymerization","method","",""
"METH_polycondensation","Method","polycondensation","method","",""
"METH_LCA","Method","LCA","method","",""
"METH_catalytic_degradation","Method","catalytic degradation","method","",""
