paper_id,title,file_name,year,priority,extraction_quality,evidence_type,claim_type,evidence_text,figure_table_source,page_est,keyword,confidence,relevance,ml_feature_candidate
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,excerpt,general,"-caprolactone)(PCL),(e)Chitosan(CS),(f)Poly(vinylpyrrolidone)(PVP),(g)Poly(vinylchloride)(PVC),and(h)Poly(vinylidenefluoride)(PVDF). S.B.Azizetal./JournalofScience:AdvancedMaterialsandDevices3(2018)1e17 3",line 87,3,pvdf,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,excerpt,general,"ofScheme.1),resultinginthepoorionicconductivity.Plasticized morphologyof poly(vinylidene difluoride-co-hexa fluoro propyl- polymer electrolytes with suitable liquid solvents that have high ene)(PVDF-co-HFP))complexedwithLiPF6.Thesurfaceandcross-",line 140,4,poly(vinylidene,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,excerpt,general,"polymer electrolytes with suitable liquid solvents that have high ene)(PVDF-co-HFP))complexedwithLiPF6.Thesurfaceandcross- dielectricconstant,ε,andlowviscosity,h,aredesiredtoformgel section morphology of the PVDF-co-HFP polymer incorporated",line 141,4,pvdf,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,excerpt,general,"dielectricconstant,ε,andlowviscosity,h,aredesiredtoformgel section morphology of the PVDF-co-HFP polymer incorporated polymer electrolytes. Therefore, the amorphous regions grow with different amounts of in situ synthesized TiO2 nanoparticles",line 142,4,pvdf,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,excerpt,general,"are typically fragile and possess low dielectric strength [34]. volumeofthematterisstrictlyconfinedthenapolarizationphe- Though,polymershaverelativelylowdielectricpermittivity,they nomenontakesplaceor(ii)iftheelectricalchargesinthematerials",line 163,5,polarization,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,excerpt,general,"identifyandovercometheeffectofspacechargepolarizationatthe electrode/solidelectrolyteinterface,itiscrucialtocarryouttheac whereZ real andZ img aretherealandimaginarypartsoftheelec-",line 170,5,polarization,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,performance_data,measurement,Dielectric constant: 0,text extraction,,performance,medium,standard,TRUE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,figure_caption,measurement,"Chemicalstructuresofsomepolarpolymerswidelyusedforpolymerelectrolytes:(a)Poly(ethyleneoxide)(PEO),(b)Poly(vinylalcohol)(PVA),(c)Poly(methylmethacrylate)
(PMMA),(d)Poly(
conductivity [10]. Polymer electrolytes comprise both crystalline electricalconductivitycanbeimprovedbyincorporatingtheplas-
and am",Figure 1,,Figure 1,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,figure_caption,measurement,"ColeeColeplotsandtheirequivalentcircuitsfor(a)apureresistor,(b)apurecapacitor,(c)acapacitorandaresistorinseries,(d)acapacitorandaresistorintheparallel
combination,and(e)aleakysystem[48].Resistorisrepresentedbythesymbol andcapacitorrepresentedby .
12
10
8
6
R = 622 Ohm
b
4
2
0
0 2 4 6 8 10 12 14
Z (O",Figure 3,,Figure 3,medium,standard,FALSE
P069,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,P069_unidentified.pdf,2018,low,partial,figure_caption,measurement,"Cartoonofionmotioninapolymerhost[62].
8 S.B.Azizetal./JournalofScience:AdvancedMaterialsandDevices3(2018)1e17",Figure 5,,Figure 5,medium,standard,FALSE
