paper_id,title,file_name,year,priority,extraction_quality,evidence_type,claim_type,evidence_text,figure_table_source,page_est,keyword,confidence,relevance,ml_feature_candidate
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,conclusion,finding,"1.0 mL min−1. Calibration curves were obtained using monodisperse
poly(methylmethacrylate)standards.Thermogravimetricanalysis(TGA)
Theobservationofsignificanthysteresisloopsduringlong-range
wascarriedoutusingaTAinstruments’TGAQ500,heatingthesamples
deformation of the elastomers implies extensive consumption atarateof20°Cmin−1from50to700°Ctoevaluatetheirthermalsta-
ofconformationalenergy.However,themaintainedhigh𝜂
recovery bility.DSC(DSC214,NETZSCH,Germany)wascarriedouttoinvestigate
suggestsanene",conclusion section,end,conclusion,medium,high_relevance_pu,TRUE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,excerpt,general,"consideringitswideapplicationrange.Therefore,anegative𝚫Heffectis points (including hydrogen bonds, crys- tallinity, rigid motifs, and ionic clusters)",line 16,1,hydrogen bond,medium,high_relevance_pu,FALSE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,excerpt,general,polyurethane(TPU)viastrain-inducedcrystallizationfacechal- NationalUniversityofSingapore,line 59,2,crystalliz,medium,high_relevance_pu,FALSE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,excerpt,general,"9EngineeringDrive1,Singapore117575,Singapore lenges, because the endothermic (ΔH > 0) melting of crystals E-mail:msehc@nus.edu.sg duringrecoveryisnotconducivetoGibbsfreeenergy(ΔG=ΔH",line 61,2,melting,medium,standard,TRUE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,excerpt,general,www.advancedsciencenews.com www.advmat.de Figure1. a)Schematicofcrystallization-inducedphaseseparationincreasinginterfacearea.b)OncetheGibbsfreeenergyofLCSTblendsissubjectedto,line 73,2,dsc,medium,standard,FALSE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,excerpt,general,"Figure1. a)Schematicofcrystallization-inducedphaseseparationincreasinginterfacearea.b)OncetheGibbsfreeenergyofLCSTblendsissubjectedto stress.c)Chemicalstructureoftwosoftsegments,diisocyanate,andchainextender.d)DSCheatingprofilesande)Tan𝛿curvesofTCA .f)Schematic",line 74,2,crystalliz,medium,standard,FALSE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,excerpt,general,"stress.c)Chemicalstructureoftwosoftsegments,diisocyanate,andchainextender.d)DSCheatingprofilesande)Tan𝛿curvesofTCA .f)Schematic x y 1",line 75,2,dsc,medium,standard,FALSE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,figure_caption,measurement,"a)Schematicofcrystallization-inducedphaseseparationincreasinginterfacearea.b)OncetheGibbsfreeenergyofLCSTblendsissubjectedto
stress.c)Chemicalstructureoftwosoftsegments,diisocyanate,andchainextender.d)DSCheatingprofilesande)Tan𝛿curvesofTCA .f)Schematic
x y 1
ofmicro-morphologyofT C A .
1 1 1
Thermod",Figure 1,,Figure 1,medium,standard,FALSE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,figure_caption,measurement,"a)Typicalengineeringstress–straincurvesofT C A ,T C A ,andT C A .b)Cyclicstress–straincurvesofT C A ,T C A ,andT C A .
2 0 1 1 1 1 0 2 1 2 0 1 1 1 1 0 2 1
c) Comparison of 𝜂 among T C A and other high-performance synthetic thermoplastic elastomers and biomaterials reported in recent
recovery 1 1 1
l",Figure 2,,Figure 2,medium,high_relevance_pu,FALSE
P003,www.advmat.de,P003_unidentified.pdf,2023,medium,partial,figure_caption,measurement,"a–d)1DSAXSintegralcurvesofT C A alongthemeridiandirectionunderdifferentstrains.e–h)1DWAXSintegralcurvesofT C A along
1 1 1 1 1 1
theequatorialdirectionunderdifferentstrains.i)SchematicofmorphologicalevolutionofT C A duringstretchingandrecoveryprocesses.
1 1 1
However, PTMEG and PCL segments do not i",Figure 4,,Figure 4,medium,standard,FALSE
P052,Low-Temperature Solid-State Polycondensation Synthesis of Non-,P052_unidentified.pdf,2025,medium,good,abstract,finding,"Conventional melt polycondensation methods, while principally suited
for producing non-isocyanate polyurethanes (NIPUs), are limited by transurethaniza-
tion kinetics and rely on high-temperature protocols that ultimately compromise the
performance of NIPUs. To boost their competitiveness as sustainable alternatives to
isocyanate-based polyurethanes, we addressed this barrier by implementing a
promising yet previously unexplored route�solid-state polycondensation (SSP)�
for synthesizing semi-cry",abstract section,1,abstract,high,high_relevance_pu,TRUE
