paper_id,title,file_name,year,priority,extraction_quality,evidence_type,evidence_text,page_est,keyword,confidence
P006,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,P006_unidentified.pdf,,low,partial,excerpt,Table S3. The mechanical properties of these T C A elastomers. x y z,2,mechanical,medium
P006,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,P006_unidentified.pdf,,low,partial,excerpt,Specimens Modulus Strength Elongation at Toughness (MPa) (MPa) break (%) (MJ/m3),2,toughness,medium
P006,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,P006_unidentified.pdf,,low,partial,excerpt,Figure S3. The atomic force microscopic height (a) and modulus (b) diagrams of T C A elastomer respectively. The scale bar represents 100 nm. The hard phase has a,5,modulus,medium
P006,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,P006_unidentified.pdf,,low,partial,excerpt,higher modulus and so appears brightly on the modulus diagram. 6,5,modulus,medium
P006,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,P006_unidentified.pdf,,low,partial,excerpt,"Figure S7. The resilience as a function of temperature of (a) T C A and (b) T C A , 2 0 1 0 2 1",6,resilience,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,abstract,"Despitetheirtechnologicalrelevance,theresistanceofsoftthermoplasticpolyurethanes(TPU)tocrackpropagation
incyclicfatiguehasneverbeeninvestigatedindetail.Inparticular,aclearshortcomingintheliteratureforthisclassofmaterialsis
thelackofconnectionbetweenthecyclicfatigueresistanceandthelargestrainbehaviorthathasafundamentalroleindefiningthe
material’sresistancetocrackpropagation.Wedemonstratehereforthefirsttimethatwhenthestrain-inducedstiffeningmechanism
of TPU (already observed for large deformation)",1,abstract,high
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,conclusion,"on X-ray 0
measured force.
investigations in deformed TPU with low HS content (weight
WAXS and SAXS Characterization. In situ WAXS and SAXS
percentageabout12%)wasprovidedbyYehandco-workers.7
experiments were carried out under two conditions: on relaxed
In this work, we tested the cyclic fatigue resistance of two samples (λ = 1) and on strained samples (λ = 2.5). The first set of
TPU which share very similar small strain properties but experiments(λ=1)wascarriedoutonaGANESHA300XL+system
present c",end,conclusion,high
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,excerpt,Self-Organization at the Crack Tip of Fatigue-Resistant Thermoplastic Polyurethane Elastomers,1,fatigue,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,excerpt,"ABSTRACT: Despitetheirtechnologicalrelevance,theresistanceofsoftthermoplasticpolyurethanes(TPU)tocrackpropagation incyclicfatiguehasneverbeeninvestigatedindetail.Inparticular,aclearshortcomingintheliteratureforthisclassofmaterialsis",1,crack,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,excerpt,"incyclicfatiguehasneverbeeninvestigatedindetail.Inparticular,aclearshortcomingintheliteratureforthisclassofmaterialsis thelackofconnectionbetweenthecyclicfatigueresistanceandthelargestrainbehaviorthathasafundamentalroleindefiningthe",1,fatigue,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,excerpt,thelackofconnectionbetweenthecyclicfatigueresistanceandthelargestrainbehaviorthathasafundamentalroleindefiningthe material’sresistancetocrackpropagation.Wedemonstratehereforthefirsttimethatwhenthestrain-inducedstiffeningmechanism,1,fatigue,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,excerpt,"material’sresistancetocrackpropagation.Wedemonstratehereforthefirsttimethatwhenthestrain-inducedstiffeningmechanism of TPU (already observed for large deformation) is combined with the presence of the nonhomogeneous strain, as in the case of",1,crack,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"Sketch of the experimental setup for WAXD and SAXS in situ experiments (a). Example of open crack profile and deformed mesh
obtained from DIC analysis (b). X and X indicate the directions parallel (meridional) and perpendicular (equatorial) to the applied load,
1 2
respectively.",,Figure 1,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"Uniaxial nominalstress−stretchcurveof TPU_XTALand TPU_SOFT at23°C (a).Zoom onthe smallstretchregion (b).
algorithmthatminimizesthedifferenceinthegraylevelsbetweenthe below which during a single fatigue experiment lasting 36000
matched images, while imposing some level of regularity to the cycles and",,Figure 3,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"CrackgrowthratepercycleasafunctionoftheappliedreleaserateG(a)andappliedstretchλ (b)forTPU_XTALandTPU_SOFT
max
at23°C.
Stiffening Effect in Cycles of Uniaxial Deformation. microstructure.Figure5alsoshowsthatthestiffeningeffectin
Characterizing the large strain cyclic behavior is fundamental TPU_XTAL,",,Figure 4,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"Tangent modulus E vs maximum Hencky strain for both cyclicallyloadedinuniaxialtension.Thelatterimpliesthatthe
TPUat23°C.
actuallengthlfatiguedofunloadedsamplesafterfatigueislonger
0
than the original in pristine sample l , which we used to
report the evolution of the tangent modulus E (calculated at",,Figure 5,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"Distributionofthemaximumλ atthecracktipalongtheloadingdirectionX forpristineandfatiguedTPU_XTAL(a)andTPU_SOFT
1 1
(b).
EffectoftheStrainGradientontheMicrostructurein
imagesindicatesthattheamorphousSSgraduallyorient
Pristine and Fatigued TPU. As previously explained, the towardtheloadingdirection.7Ad",,Figure 7,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"ValuesofaveragedFWHMratiobetweenpristineandfatiguedsample(a)andcrystallinefractioninTPU_XTALatincreasingdistance
fromthe crack forpristineandfatigued sample (b)monotonically strained atλ = 2.25.
max
visible close to the crack tip for TPU_SOFT in the 1D integrated along the azimuthal direction (as in",,Figure 9,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"DSC thermogram for TPU_XTAL: pristine and fatigued
crack tip during cyclic fatigue. sample. The inset is a magnification of the endothermic peak in the
Permanent Modification of the Microstructure fatiguedsamplecorrespondingtothemeltofcrystallitesschematically
Induced by Strain History. In the previ",,Figure 11,medium
P011,Self-Organization at the Crack Tip of Fatigue-Resistant,P011_unidentified.pdf,2021,high,good,figure_caption,"SketchofthespatialevolutionofthetangentmodulusEandstrainλ forpristineandfatiguedTPU.Inanotchedandloadedpristine
1
TPU, E is constant and a strain gradient is induced by the presence of the crack in the neighboring area (a). After thousands of cycles, the
reorganizationatthecracktipgeneratesahardcore",,Figure 13,medium
P015,"Supertough, Resilient, and Healable Thermoplastic",P015_unidentified.pdf,2025,low,partial,excerpt,"Thestructureanddensityofhydrogenbondsinthermoplasticpoly(urethane uniqueperformancesandmechanicalprop- urea)(TPU)elastomersplayapivotalroleindeterminingtheirmicroscopic erties,TPUelastomersaregainingincreas-",1,mechanical,medium
P015,"Supertough, Resilient, and Healable Thermoplastic",P015_unidentified.pdf,2025,low,partial,excerpt,"structuresandmacroscopicthermomechanicalperformances.Inthiscontext, ing popularity in many advanced applica- tions,suchasstrainsensors,[1] actuators[2]",1,mechanical,medium
P015,"Supertough, Resilient, and Healable Thermoplastic",P015_unidentified.pdf,2025,low,partial,excerpt,"ultimateengineeringstressandelongationupto70MPaand1100%, traordinarily tough, resilient and durable. respectively,andthereforeconsiderabletoughnessof260MJm−3.Meanwhile, Thepursuitofthesepropertieshaspushed",1,elongation,medium
P015,"Supertough, Resilient, and Healable Thermoplastic",P015_unidentified.pdf,2025,low,partial,excerpt,"respectively,andthereforeconsiderabletoughnessof260MJm−3.Meanwhile, Thepursuitofthesepropertieshaspushed the limit of TPU beyond their traditional",1,toughness,medium
P015,"Supertough, Resilient, and Healable Thermoplastic",P015_unidentified.pdf,2025,low,partial,excerpt,"and thermomechanical properties of TPU elongationatbreak,toughness,andresilienceatroomtemperature.",1,mechanical,medium
P015,"Supertough, Resilient, and Healable Thermoplastic",P015_unidentified.pdf,2025,low,partial,performance_data,Elongation at break: 1600,,performance,medium
