paper_id,title,file_name,year,priority,extraction_quality,evidence_type,evidence_text,page_est,keyword,confidence
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,abstract,"Piezoelectricmaterialsarepromisingforbiomedical
applications because they can provide mechanical or electrical
stimulations via converse or direct piezoelectric effects. The
stimulationshavebeenproventobebeneficialforcellproliferation
and tissue regeneration. Recent reports showed that doping
differentcontentsofreducedgrapheneoxide(rGO)orpolyaniline
(PANi) into biodegradablepolyhydroxybutyrate (PHB)enhanced
their piezoelectric response, showing potential for biomedical
applications. In this stud",1,abstract,high
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,conclusion,"3PANi had a significantly lower electrochemical impedance Thisarticlereportedthedesign,fabrication,andkeyproperties
than other groups but showed no significant difference in the of PHB-based composites as well as their interactions with
BMSC adhesion and morphology when compared with other BMSCs in vitro. The addition of rGO or PANi to PHB
groups. The short culture duration of 24 h may have scaffolds significantly affected the key properties such as the
contributed to the difference between our ",end,conclusion,high
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,excerpt,"Composites and Cytocompatibility with Mesenchymal Stem Cells Ruoyu Sheng, Jing Mu, Roman V. Chernozem, Yulia R. Mukhortova, Maria A. Surmeneva, Igor O. Pariy,",1,cell,medium
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,excerpt,stimulationshavebeenproventobebeneficialforcellproliferation and tissue regeneration. Recent reports showed that doping,1,cell,medium
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,excerpt,"(PANi) into biodegradablepolyhydroxybutyrate (PHB)enhanced their piezoelectric response, showing potential for biomedical",1,biodegradable,medium
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,excerpt,betweenphysiochemicalpropertiesandtheinvitrocellresponseto the PHB-based composite scaffolds with rGO or PANi.,1,cell,medium
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,excerpt,"the PHB-based composite scaffolds with rGO or PANi. Specifically, we characterized the surface morphology, wetting",1,scaffold,medium
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,figure_caption,"(A)Watercontactangleand(B)surfacefreeenergy(DC-dispersivecomponentandPC-polarcomponent)ofelectrospunPHB-based
compositesofPHB0.2rGO,PHB1rGO,PHB2PANi,andPHB3PANiaswellasthecontrolsofPHBandPCL.Nostatisticalsignificancewas
foundasp > 0.05.
(model SB70P, VWR). The average pH values and standard
derivati",,Figure 1,medium
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,figure_caption,"Electrochemicalimpedancespectrafor(A)PHB,(B)PHB0.2rGO,(C)PHB1rGO,(D)PHB2PANi,and(E)PHB3PANiatdifferent
frequencies.
3735 https://doi.org/10.1021/acsami.2c15802
ACSAppl.Mater.Interfaces2023,15,3731−3743
ACS Applied Materials & Interfaces www.acsami.org ResearchArticle
with a corresponding EDS map, el",,Figure 4,medium
P119,Fabrication and Characterization of Piezoelectric Polymer,P119_unidentified.pdf,2023,high,good,figure_caption,"FTIR-ATR spectra of (A) PHB 0.2rGO, (B) PHB 1rGO,
corresponding EDS map, elemental composition (carbon and
(C)PHB2PANi,(D) PHB3PANi,and (E)PHB.
oxygen in atomic percent), and fiber-diameter distribution",,Figure 5,medium
