group_id,paper_id,file_name,title,doi,keep_or_remove,reason
TITLE_P003,P004,P004_unidentified.pdf,www.advmat.de,10.1002/adma.202311992,remove,Similar title to P003: 'www.advmat.de'
TITLE_P018,P020,P020_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.macromol.6b02711,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P018,P025,P025_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.macromol.7b00582,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P018,P030,P030_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.macromol.7b01440,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P018,P031,P031_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.macromol.7b00767,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P018,P032,P032_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.macromol.7b01718,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P018,P036,P036_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.macromol.7b01929,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P018,P037,P037_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.macromol.6b02355,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P040,P041,P041_unidentified.pdf,"CiteThis:Macromolecules2018,51,4423−4423",10.1021/acs.macromol.8b01202,remove,"Similar title to P040: 'CiteThis:Macromolecules2017,50,9525−9527'"
TITLE_P003,P053,P053_unidentified.pdf,www.advmat.de,10.1002/adma.202505193,remove,Similar title to P003: 'www.advmat.de'
TITLE_P043,P055,P055_unidentified.pdf,A Journal of the Gesellschaft Deutscher Chemiker,10.1002/anie.202318412,remove,Similar title to P043: 'A Journal of the Gesellschaft Deutscher Chemiker'
TITLE_P043,P056,P056_unidentified.pdf,A Journal of the Gesellschaft Deutscher Chemiker,10.1002/anie.202317045,remove,Similar title to P043: 'A Journal of the Gesellschaft Deutscher Chemiker'
TITLE_P003,P061,P061_unidentified.pdf,www.advmat.de,10.1002/adma.202105416,remove,Similar title to P003: 'www.advmat.de'
TITLE_P003,P062,P062_unidentified.pdf,www.advmat.de,10.1002/adma.202105416,remove,Similar title to P003: 'www.advmat.de'
TITLE_P018,P076,P076_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, which permits",10.1021/acs.chemrev.6b00504,remove,Similar title to P018: 'This is an open access article published under an '
TITLE_P049,P081,P081_unidentified.pdf,Green Chemistry,10.1039/c5gc02277k,remove,Similar title to P049: 'Green Chemistry'
TITLE_P082,P085,P085_unidentified.pdf,Materials Chemistry B,10.1039/c9tb02570g,remove,Similar title to P082: 'Materials Chemistry A'
TITLE_P082,P087,P087_unidentified.pdf,Materials Chemistry A,10.1039/d2ta06541j,remove,Similar title to P082: 'Materials Chemistry A'
TITLE_P003,P092,P092_unidentified.pdf,www.advmat.de,10.1002/adma.202211679,remove,Similar title to P003: 'www.advmat.de'
TITLE_P003,P101,P101_unidentified.pdf,www.advmat.de,10.1002/adma.202506563,remove,Similar title to P003: 'www.advmat.de'
TITLE_P003,P109,P109_unidentified.pdf,www.advmat.de,10.1002/adma.202510524,remove,Similar title to P003: 'www.advmat.de'
