source_id,target_id,edge_type,evidence_id,paper_id,confidence
N0001,N0184,STUDIES,,P151,medium
N0001,N0183,STUDIES,,P151,medium
N0002,N0184,STUDIES,,P166,high
N0002,N0189,STUDIES,,P166,high
N0002,N0183,STUDIES,,P166,medium
N0003,N0180,STUDIES,,P188,medium
N0003,N0189,STUDIES,,P188,medium
N0003,N0184,STUDIES,,P188,medium
N0004,N0183,STUDIES,,P339,high
N0005,N0182,STUDIES,,P069,medium
N0005,N0183,STUDIES,,P069,medium
N0005,N0184,STUDIES,,P069,medium
N0006,N0182,STUDIES,,P077,high
N0006,N0189,STUDIES,,P077,high
N0006,N0181,STUDIES,,P077,medium
N0008,N0184,STUDIES,,P104,medium
N0015,N0181,STUDIES,,P113,medium
N0016,N0182,STUDIES,,P115,medium
N0017,N0182,STUDIES,,P116,medium
N0017,N0184,STUDIES,,P116,medium
N0018,N0182,STUDIES,,P122,medium
N0018,N0184,STUDIES,,P122,medium
N0019,N0182,STUDIES,,P123,medium
N0020,N0189,STUDIES,,P140,medium
N0020,N0181,STUDIES,,P140,medium
N0022,N0182,STUDIES,,P146,medium
N0023,N0185,STUDIES,,P147,medium
N0023,N0182,STUDIES,,P147,medium
N0024,N0182,STUDIES,,P177,medium
N0025,N0182,STUDIES,,P298,medium
N0026,N0182,STUDIES,,P338,high
N0026,N0184,STUDIES,,P338,medium
N0027,N0182,STUDIES,,P379,medium
N0028,N0189,STUDIES,,P003,medium
N0028,N0180,STUDIES,,P003,medium
N0028,N0181,STUDIES,,P003,medium
N0028,N0184,STUDIES,,P003,medium
N0028,N0183,STUDIES,,P003,medium
N0029,N0180,STUDIES,,P052,high
N0030,N0187,STUDIES,,P064,medium
N0031,N0184,STUDIES,,P159,medium
N0031,N0189,STUDIES,,P159,medium
N0031,N0181,STUDIES,,P159,medium
N0033,N0184,STUDIES,,P240,medium
N0035,N0184,STUDIES,,P260,medium
N0039,N0184,STUDIES,,P286,high
N0040,N0180,STUDIES,,P288,high
N0040,N0181,STUDIES,,P288,high
N0040,N0184,STUDIES,,P288,high
N0041,N0184,STUDIES,,P289,medium
N0043,N0184,STUDIES,,P364,medium
N0044,N0184,STUDIES,,P365,medium
N0045,N0184,STUDIES,,P366,medium
N0046,N0189,STUDIES,,P369,high
N0046,N0184,STUDIES,,P369,medium
N0047,N0185,STUDIES,,P372,medium
N0049,N0184,STUDIES,,P380,medium
N0050,N0189,STUDIES,,P386,high
N0050,N0184,STUDIES,,P386,medium
N0052,N0186,STUDIES,,P425,high
N0053,N0189,STUDIES,,P006,medium
N0054,N0180,STUDIES,,P011,high
N0054,N0181,STUDIES,,P011,high
N0054,N0184,STUDIES,,P011,high
