node_id,node_type,label,category,description,evidence_count,confidence,original_title,display_title,title_uncertain
N0001,Paper,P151,PCL_Based_Polyurethane,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,9,high,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,False
N0002,Paper,P166,PCL_Based_Polyurethane,"Conjugation-Disruption Strategy Enables Colorless, Chemically",10,high,"Conjugation-Disruption Strategy Enables Colorless, Chemically","Conjugation-Disruption Strategy Enables Colorless, Chemically",False
N0003,Paper,P188,PCL_Based_Polyurethane,Explore Thermal and Mechanical Properties of Biobased,7,high,Explore Thermal and Mechanical Properties of Biobased,Explore Thermal and Mechanical Properties of Biobased,False
N0004,Paper,P339,PCL_Based_Polyurethane,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,14,high,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,Impact of Chain Length on PCL Dielectric β‑Relaxation: Decoupling,False
N0005,Paper,P069,PVDF_Piezoelectric_Biomaterials,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,14,high,JournalofScience:AdvancedMaterialsandDevices3(2018)1e17,"Piezoelectric polymer scaffolds for biomedical applications (PVDF, PCL, chitosan)",True
N0006,Paper,P077,PVDF_Piezoelectric_Biomaterials,"Soft, Super-Elastic, All-Polymer Piezoelectric Elastomer for Artificial",10,high,"Soft, Super-Elastic, All-Polymer Piezoelectric Elastomer for Artificial","Soft, Super-Elastic, All-Polymer Piezoelectric Elastomer for Artificial",False
N0007,Paper,P083,PVDF_Piezoelectric_Biomaterials,Chem Soc Rev,8,high,Chem Soc Rev,"Piezoelectric, photo-, shape-memory, self-healing electrochromic polymers (Chem Soc Rev)",True
N0008,Paper,P104,PVDF_Piezoelectric_Biomaterials,"J.Am.Ceram.Soc.,88[10]2663–2676(2005)",19,high,"J.Am.Ceram.Soc.,88[10]2663–2676(2005)",Contributions to the Piezoelectric Effect in Ferroelectric Single Crystals and Ceramics,False
N0009,Paper,P105,PVDF_Piezoelectric_Biomaterials,"PHYSICALREVIEWB73,174106(cid:1)2006(cid:2)",9,high,"PHYSICALREVIEWB73,174106(cid:1)2006(cid:2)","Piezoelectric response and free-energy instability in perovskite crystals BaTiO3, PbTiO3",False
N0010,Paper,P106,PVDF_Piezoelectric_Biomaterials,"Vol.14,No.2(2024)2340002(9pages)",12,high,"Vol.14,No.2(2024)2340002(9pages)",Designing high piezoelectric properties at BaTiO3-PbZrO3-PbTiO3,False
