paper_id,file_name,title,extraction_problem,missing_abstract,text_length,classification_confidence,suggested_action
P002,P002_unidentified.pdf,Recent Advances in Shape Memory Polymers:,No abstract found,True,67749,medium,needs_manual_check
P003,P003_unidentified.pdf,www.advmat.de,No abstract found,True,42688,high,skip
P004,P004_unidentified.pdf,www.advmat.de,No abstract found,True,42967,medium,skip
P005,P005_unidentified.pdf,Chemistry,No abstract found; Poor title extraction,True,36205,medium,skip
P006,P006_unidentified.pdf,Negative Enthalpy Variation Drives Rapid Recovery in Thermoplastic Elastomer,No abstract found; No introduction found,True,12852,low,needs_manual_check
P007,P007_unidentified.pdf,Flexible Cages Enable Robust Supramolecular Elastomers,No abstract found; No introduction found,True,17124,medium,needs_manual_check
P008,P008_unidentified.pdf,Supplementary Information for,No abstract found; No introduction found,True,15374,high,skip
P009,P009_unidentified.pdf,"Matter, Volume 5",No abstract found; No introduction found,True,10452,low,skip
P010,P010_unidentified.pdf,Surpassing the stiffness-extensibility trade-off,No abstract found,True,52907,medium,skip
P012,P012_unidentified.pdf,CORRECTED 28 MARCH 2019; SEE FULL TEXT,No abstract found,True,46826,medium,skip
P014,P014_unidentified.pdf,High-barrier polyimide containing fluorenol moiety: gas,No abstract found; No introduction found,True,19311,low,skip
P015,P015_unidentified.pdf,"Supertough, Resilient, and Healable Thermoplastic",No abstract found,True,42689,low,skip
P019,P019_unidentified.pdf,: Dielectric Phenomena in Polymers and,No introduction found,False,100043,low,skip
P020,P020_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, whic",No introduction found,False,55669,medium,skip
P037,P037_unidentified.pdf,"This is an open access article published under an ACS AuthorChoice License, whic",No introduction found,False,128190,medium,skip
P040,P040_unidentified.pdf,"CiteThis:Macromolecules2017,50,9525−9527",No abstract found; No introduction found; Poor title extraction,True,13226,medium,skip
P041,P041_unidentified.pdf,"CiteThis:Macromolecules2018,51,4423−4423",No abstract found; No introduction found; Poor title extraction,True,3562,low,skip
P042,P042_unidentified.pdf,芳香複素環高分子材料の構造 分子,No abstract found; No introduction found,True,31147,low,skip
